date,punjab_fire_count,wind_speed_kmph,wind_dir_deg,temp_min_c,delhi_aqi,aqi_category,dominant_reason
2023-12-13,0,2.2,160,3,385,Very Poor,Local Pollution Lock
2023-12-14,0,2.5,150,3,370,Very Poor,Local Pollution Lock
2023-12-15,0,2.8,140,3,355,Very Poor,Local Pollution Lock
2023-12-16,0,3.0,155,3,340,Very Poor,Local Pollution Lock
2023-12-17,0,3.2,145,3,325,Very Poor,Local Pollution Lock
2023-12-18,0,3.5,135,3,310,Very Poor,Local Pollution Lock
2023-12-19,0,3.8,160,3,295,Poor,Local Pollution Lock
2023-12-20,0,4.0,150,3,280,Poor,Local Pollution Lock
2023-12-21,0,4.2,140,3,265,Poor,Local Pollution Lock
2023-12-22,0,4.5,155,3,250,Poor,Local Pollution Lock
2023-12-23,0,4.8,145,3,235,Poor,Local Pollution Lock
2023-12-24,0,5.0,135,3,220,Poor,Local Pollution Lock
2023-12-25,0,5.2,160,3,205,Poor,Local Pollution Lock
2023-12-26,0,5.5,150,3,190,Moderate,Local Pollution Lock
2023-12-27,0,5.8,140,3,175,Moderate,Local Pollution Lock
2023-12-28,0,6.0,155,3,160,Moderate,Local Pollution Lock
2023-12-29,0,6.2,145,3,145,Moderate,Local Pollution Lock
2023-12-30,0,6.5,135,3,130,Moderate,Local Pollution Lock
2023-12-31,0,6.8,160,3,115,Moderate,Local Pollution Lock
2024-01-01,0,7.0,150,3,100,Satisfactory,Local Pollution Lock
2024-01-02,0,7.2,140,3,110,Moderate,Local Pollution Lock
2024-01-03,0,7.5,155,3,120,Moderate,Local Pollution Lock
2024-01-04,0,7.8,145,3,130,Moderate,Local Pollution Lock
2024-01-05,0,8.0,135,3,140,Moderate,Local Pollution Lock
2024-01-06,0,8.2,160,3,150,Moderate,Local Pollution Lock
2024-01-07,0,8.5,150,3,160,Moderate,Local Pollution Lock
2024-01-08,0,8.8,140,3,170,Moderate,Local Pollution Lock
2026-01-28,3500,1.5,315.0,10.0,524,Severe,Stubble Transport
